file_ref,file_dis,dmos
UGC0528_1280x720_30_crf_00.mp4,UGC0528_1280x720_30_crf_47.mp4,1.8611
UGC0564_720x1280_30_crf_00.mp4,UGC0564_720x1280_30_crf_00.mp4,5.0000
UGC0564_720x1280_30_crf_00.mp4,UGC0564_720x1280_30_crf_17.mp4,4.3333
UGC0564_720x1280_30_crf_00.mp4,UGC0564_720x1280_30_crf_22.mp4,4.1667
UGC0564_720x1280_30_crf_00.mp4,UGC0564_720x1280_30_crf_27.mp4,4.1667
UGC0564_720x1280_30_crf_00.mp4,UGC0564_720x1280_30_crf_32.mp4,3.6389
UGC0564_720x1280_30_crf_00.mp4,UGC0564_720x1280_30_crf_37.mp4,3.1944
UGC0564_720x1280_30_crf_00.mp4,UGC0564_720x1280_30_crf_42.mp4,1.6389
UGC0564_720x1280_30_crf_00.mp4,UGC0564_720x1280_30_crf_47.mp4,1.1667
UGC0603_720x1280_30_crf_00.mp4,UGC0603_720x1280_30_crf_00.mp4,5.0000
UGC0603_720x1280_30_crf_00.mp4,UGC0603_720x1280_30_crf_17.mp4,5.0000
UGC0603_720x1280_30_crf_00.mp4,UGC0603_720x1280_30_crf_22.mp4,4.3889
UGC0603_720x1280_30_crf_00.mp4,UGC0603_720x1280_30_crf_27.mp4,4.2222
UGC0603_720x1280_30_crf_00.mp4,UGC0603_720x1280_30_crf_32.mp4,3.8056
UGC0603_720x1280_30_crf_00.mp4,UGC0603_720x1280_30_crf_37.mp4,3.0000
UGC0603_720x1280_30_crf_00.mp4,UGC0603_720x1280_30_crf_42.mp4,2.2500
UGC0603_720x1280_30_crf_00.mp4,UGC0603_720x1280_30_crf_47.mp4,1.5833
UGC0999_720x1280_30_crf_00.mp4,UGC0999_720x1280_30_crf_00.mp4,5.0000
UGC0999_720x1280_30_crf_00.mp4,UGC0999_720x1280_30_crf_17.mp4,4.5556
UGC0999_720x1280_30_crf_00.mp4,UGC0999_720x1280_30_crf_22.mp4,5.0278
UGC0999_720x1280_30_crf_00.mp4,UGC0999_720x1280_30_crf_27.mp4,4.6389
UGC0999_720x1280_30_crf_00.mp4,UGC0999_720x1280_30_crf_32.mp4,4.0833
UGC0999_720x1280_30_crf_00.mp4,UGC0999_720x1280_30_crf_37.mp4,2.4444
UGC0999_720x1280_30_crf_00.mp4,UGC0999_720x1280_30_crf_42.mp4,2.3333
UGC0999_720x1280_30_crf_00.mp4,UGC0999_720x1280_30_crf_47.mp4,1.7222
UGC0113_720x1280_30_crf_00.mp4,UGC0113_720x1280_30_crf_00.mp4,5.0000
UGC0113_720x1280_30_crf_00.mp4,UGC0113_720x1280_30_crf_17.mp4,4.9143
UGC0113_720x1280_30_crf_00.mp4,UGC0113_720x1280_30_crf_22.mp4,4.8571
UGC0113_720x1280_30_crf_00.mp4,UGC0113_720x1280_30_crf_27.mp4,4.1714
UGC0113_720x1280_30_crf_00.mp4,UGC0113_720x1280_30_crf_32.mp4,3.2286
UGC0113_720x1280_30_crf_00.mp4,UGC0113_720x1280_30_crf_37.mp4,2.8571
UGC0113_720x1280_30_crf_00.mp4,UGC0113_720x1280_30_crf_42.mp4,1.9143
UGC0113_720x1280_30_crf_00.mp4,UGC0113_720x1280_30_crf_47.mp4,1.4571
UGC0206_1280x720_30_crf_00.mp4,UGC0206_1280x720_30_crf_00.mp4,5.0000
UGC0206_1280x720_30_crf_00.mp4,UGC0206_1280x720_30_crf_17.mp4,4.9143
UGC0206_1280x720_30_crf_00.mp4,UGC0206_1280x720_30_crf_22.mp4,4.7429
UGC0206_1280x720_30_crf_00.mp4,UGC0206_1280x720_30_crf_27.mp4,4.7143
UGC0206_1280x720_30_crf_00.mp4,UGC0206_1280x720_30_crf_32.mp4,4.0000
UGC0206_1280x720_30_crf_00.mp4,UGC0206_1280x720_30_crf_37.mp4,2.6571
UGC0206_1280x720_30_crf_00.mp4,UGC0206_1280x720_30_crf_42.mp4,2.0857
UGC0206_1280x720_30_crf_00.mp4,UGC0206_1280x720_30_crf_47.mp4,1.0857
UGC0260_720x1280_30_crf_00.mp4,UGC0260_720x1280_30_crf_00.mp4,5.0000
UGC0260_720x1280_30_crf_00.mp4,UGC0260_720x1280_30_crf_17.mp4,5.0000
UGC0260_720x1280_30_crf_00.mp4,UGC0260_720x1280_30_crf_22.mp4,5.0857
UGC0260_720x1280_30_crf_00.mp4,UGC0260_720x1280_30_crf_27.mp4,4.8286
UGC0260_720x1280_30_crf_00.mp4,UGC0260_720x1280_30_crf_32.mp4,4.4000
UGC0260_720x1280_30_crf_00.mp4,UGC0260_720x1280_30_crf_37.mp4,3.2571
UGC0260_720x1280_30_crf_00.mp4,UGC0260_720x1280_30_crf_42.mp4,2.5143
UGC0260_720x1280_30_crf_00.mp4,UGC0260_720x1280_30_crf_47.mp4,1.6571
UGC0540_720x1280_30_crf_00.mp4,UGC0540_720x1280_30_crf_00.mp4,5.0000
UGC0540_720x1280_30_crf_00.mp4,UGC0540_720x1280_30_crf_17.mp4,4.5429
UGC0540_720x1280_30_crf_00.mp4,UGC0540_720x1280_30_crf_22.mp4,4.4286
UGC0540_720x1280_30_crf_00.mp4,UGC0540_720x1280_30_crf_27.mp4,4.1429
UGC0540_720x1280_30_crf_00.mp4,UGC0540_720x1280_30_crf_32.mp4,4.0857
UGC0540_720x1280_30_crf_00.mp4,UGC0540_720x1280_30_crf_37.mp4,3.1714
UGC0540_720x1280_30_crf_00.mp4,UGC0540_720x1280_30_crf_42.mp4,1.7429
UGC0540_720x1280_30_crf_00.mp4,UGC0540_720x1280_30_crf_47.mp4,1.1143
UGC0543_720x1280_30_crf_00.mp4,UGC0543_720x1280_30_crf_00.mp4,5.0000
UGC0543_720x1280_30_crf_00.mp4,UGC0543_720x1280_30_crf_17.mp4,5.0286
UGC0543_720x1280_30_crf_00.mp4,UGC0543_720x1280_30_crf_22.mp4,4.5429
UGC0543_720x1280_30_crf_00.mp4,UGC0543_720x1280_30_crf_27.mp4,4.8571
UGC0543_720x1280_30_crf_00.mp4,UGC0543_720x1280_30_crf_32.mp4,4.2000
UGC0543_720x1280_30_crf_00.mp4,UGC0543_720x1280_30_crf_37.mp4,3.6857
UGC0543_720x1280_30_crf_00.mp4,UGC0543_720x1280_30_crf_42.mp4,2.0286
UGC0543_720x1280_30_crf_00.mp4,UGC0543_720x1280_30_crf_47.mp4,1.1429
UGC0693_720x1280_30_crf_00.mp4,UGC0693_720x1280_30_crf_00.mp4,5.0000
UGC0693_720x1280_30_crf_00.mp4,UGC0693_720x1280_30_crf_17.mp4,4.9714
UGC0693_720x1280_30_crf_00.mp4,UGC0693_720x1280_30_crf_22.mp4,4.7143
UGC0693_720x1280_30_crf_00.mp4,UGC0693_720x1280_30_crf_27.mp4,4.9429
UGC0693_720x1280_30_crf_00.mp4,UGC0693_720x1280_30_crf_32.mp4,4.1429
UGC0693_720x1280_30_crf_00.mp4,UGC0693_720x1280_30_crf_37.mp4,3.1714
UGC0693_720x1280_30_crf_00.mp4,UGC0693_720x1280_30_crf_42.mp4,2.5143
UGC0693_720x1280_30_crf_00.mp4,UGC0693_720x1280_30_crf_47.mp4,1.6857
UGC0733_720x1280_30_crf_00.mp4,UGC0733_720x1280_30_crf_00.mp4,5.0000
UGC0733_720x1280_30_crf_00.mp4,UGC0733_720x1280_30_crf_17.mp4,4.9714
UGC0733_720x1280_30_crf_00.mp4,UGC0733_720x1280_30_crf_22.mp4,4.1429
UGC0733_720x1280_30_crf_00.mp4,UGC0733_720x1280_30_crf_27.mp4,4.0571
UGC0733_720x1280_30_crf_00.mp4,UGC0733_720x1280_30_crf_32.mp4,4.5143
UGC0733_720x1280_30_crf_00.mp4,UGC0733_720x1280_30_crf_37.mp4,3.4286
UGC0733_720x1280_30_crf_00.mp4,UGC0733_720x1280_30_crf_42.mp4,2.4000
UGC0733_720x1280_30_crf_00.mp4,UGC0733_720x1280_30_crf_47.mp4,2.0000
UGC0813_720x1280_30_crf_00.mp4,UGC0813_720x1280_30_crf_00.mp4,5.0000
UGC0813_720x1280_30_crf_00.mp4,UGC0813_720x1280_30_crf_17.mp4,4.5714
UGC0813_720x1280_30_crf_00.mp4,UGC0813_720x1280_30_crf_22.mp4,4.8571
UGC0813_720x1280_30_crf_00.mp4,UGC0813_720x1280_30_crf_27.mp4,4.7714
UGC0813_720x1280_30_crf_00.mp4,UGC0813_720x1280_30_crf_32.mp4,4.0000
UGC0813_720x1280_30_crf_00.mp4,UGC0813_720x1280_30_crf_37.mp4,3.3143
UGC0813_720x1280_30_crf_00.mp4,UGC0813_720x1280_30_crf_42.mp4,2.0000
UGC0813_720x1280_30_crf_00.mp4,UGC0813_720x1280_30_crf_47.mp4,1.5143
UGC0169_720x1280_30_crf_00.mp4,UGC0169_720x1280_30_crf_00.mp4,5.0000
UGC0169_720x1280_30_crf_00.mp4,UGC0169_720x1280_30_crf_17.mp4,4.5000
UGC0169_720x1280_30_crf_00.mp4,UGC0169_720x1280_30_crf_22.mp4,4.5333
UGC0169_720x1280_30_crf_00.mp4,UGC0169_720x1280_30_crf_27.mp4,4.3667
UGC0169_720x1280_30_crf_00.mp4,UGC0169_720x1280_30_crf_32.mp4,3.6333
UGC0169_720x1280_30_crf_00.mp4,UGC0169_720x1280_30_crf_37.mp4,2.7000
UGC0169_720x1280_30_crf_00.mp4,UGC0169_720x1280_30_crf_42.mp4,1.8000
UGC0169_720x1280_30_crf_00.mp4,UGC0169_720x1280_30_crf_47.mp4,1.7000
UGC0183_720x1280_30_crf_00.mp4,UGC0183_720x1280_30_crf_00.mp4,5.0000
UGC0183_720x1280_30_crf_00.mp4,UGC0183_720x1280_30_crf_17.mp4,4.6667
UGC0183_720x1280_30_crf_00.mp4,UGC0183_720x1280_30_crf_22.mp4,4.6000
UGC0183_720x1280_30_crf_00.mp4,UGC0183_720x1280_30_crf_27.mp4,4.7000
UGC0183_720x1280_30_crf_00.mp4,UGC0183_720x1280_30_crf_32.mp4,4.4667
UGC0183_720x1280_30_crf_00.mp4,UGC0183_720x1280_30_crf_37.mp4,3.4667
UGC0183_720x1280_30_crf_00.mp4,UGC0183_720x1280_30_crf_42.mp4,2.2333
UGC0183_720x1280_30_crf_00.mp4,UGC0183_720x1280_30_crf_47.mp4,1.8000
UGC0359_1280x720_30_crf_00.mp4,UGC0359_1280x720_30_crf_00.mp4,5.0000
UGC0359_1280x720_30_crf_00.mp4,UGC0359_1280x720_30_crf_17.mp4,4.4000
UGC0359_1280x720_30_crf_00.mp4,UGC0359_1280x720_30_crf_22.mp4,4.5000
UGC0359_1280x720_30_crf_00.mp4,UGC0359_1280x720_30_crf_27.mp4,4.6333
UGC0359_1280x720_30_crf_00.mp4,UGC0359_1280x720_30_crf_32.mp4,3.5667
UGC0359_1280x720_30_crf_00.mp4,UGC0359_1280x720_30_crf_37.mp4,2.4667
UGC0359_1280x720_30_crf_00.mp4,UGC0359_1280x720_30_crf_42.mp4,1.5000
UGC0359_1280x720_30_crf_00.mp4,UGC0359_1280x720_30_crf_47.mp4,1.5333
UGC0568_720x1280_30_crf_00.mp4,UGC0568_720x1280_30_crf_00.mp4,5.0000
UGC0568_720x1280_30_crf_00.mp4,UGC0568_720x1280_30_crf_17.mp4,4.6667
UGC0568_720x1280_30_crf_00.mp4,UGC0568_720x1280_30_crf_22.mp4,4.9333
UGC0568_720x1280_30_crf_00.mp4,UGC0568_720x1280_30_crf_27.mp4,4.8333
UGC0568_720x1280_30_crf_00.mp4,UGC0568_720x1280_30_crf_32.mp4,4.2667
UGC0568_720x1280_30_crf_00.mp4,UGC0568_720x1280_30_crf_37.mp4,3.1667
UGC0568_720x1280_30_crf_00.mp4,UGC0568_720x1280_30_crf_42.mp4,2.2667
UGC0568_720x1280_30_crf_00.mp4,UGC0568_720x1280_30_crf_47.mp4,1.1333
UGC0586_720x1280_30_crf_00.mp4,UGC0586_720x1280_30_crf_00.mp4,5.0000
UGC0586_720x1280_30_crf_00.mp4,UGC0586_720x1280_30_crf_17.mp4,4.3667
UGC0586_720x1280_30_crf_00.mp4,UGC0586_720x1280_30_crf_22.mp4,4.8333
UGC0586_720x1280_30_crf_00.mp4,UGC0586_720x1280_30_crf_27.mp4,4.1667
UGC0586_720x1280_30_crf_00.mp4,UGC0586_720x1280_30_crf_32.mp4,3.7000
UGC0586_720x1280_30_crf_00.mp4,UGC0586_720x1280_30_crf_37.mp4,2.8333
UGC0586_720x1280_30_crf_00.mp4,UGC0586_720x1280_30_crf_42.mp4,1.9667
UGC0586_720x1280_30_crf_00.mp4,UGC0586_720x1280_30_crf_47.mp4,1.2333
UGC0862_720x1280_30_crf_00.mp4,UGC0862_720x1280_30_crf_00.mp4,5.0000
UGC0862_720x1280_30_crf_00.mp4,UGC0862_720x1280_30_crf_17.mp4,4.3000
UGC0862_720x1280_30_crf_00.mp4,UGC0862_720x1280_30_crf_22.mp4,4.3667
UGC0862_720x1280_30_crf_00.mp4,UGC0862_720x1280_30_crf_27.mp4,4.9000
UGC0862_720x1280_30_crf_00.mp4,UGC0862_720x1280_30_crf_32.mp4,4.2667
UGC0862_720x1280_30_crf_00.mp4,UGC0862_720x1280_30_crf_37.mp4,3.2333
UGC0862_720x1280_30_crf_00.mp4,UGC0862_720x1280_30_crf_42.mp4,2.3333
UGC0862_720x1280_30_crf_00.mp4,UGC0862_720x1280_30_crf_47.mp4,1.7333
UGC0008_1280x720_30_crf_00.mp4,UGC0008_1280x720_30_crf_00.mp4,5.0000
UGC0008_1280x720_30_crf_00.mp4,UGC0008_1280x720_30_crf_17.mp4,5.0278
UGC0008_1280x720_30_crf_00.mp4,UGC0008_1280x720_30_crf_22.mp4,4.4722
UGC0008_1280x720_30_crf_00.mp4,UGC0008_1280x720_30_crf_27.mp4,4.9722
UGC0008_1280x720_30_crf_00.mp4,UGC0008_1280x720_30_crf_32.mp4,4.1667
UGC0008_1280x720_30_crf_00.mp4,UGC0008_1280x720_30_crf_37.mp4,3.4444
UGC0008_1280x720_30_crf_00.mp4,UGC0008_1280x720_30_crf_42.mp4,2.3056
UGC0008_1280x720_30_crf_00.mp4,UGC0008_1280x720_30_crf_47.mp4,1.5000
UGC0074_720x1280_30_crf_00.mp4,UGC0074_720x1280_30_crf_00.mp4,5.0000
UGC0074_720x1280_30_crf_00.mp4,UGC0074_720x1280_30_crf_17.mp4,4.8056
UGC0074_720x1280_30_crf_00.mp4,UGC0074_720x1280_30_crf_22.mp4,4.3889
UGC0074_720x1280_30_crf_00.mp4,UGC0074_720x1280_30_crf_27.mp4,4.3611
UGC0074_720x1280_30_crf_00.mp4,UGC0074_720x1280_30_crf_32.mp4,4.2778
UGC0074_720x1280_30_crf_00.mp4,UGC0074_720x1280_30_crf_37.mp4,3.4167
UGC0074_720x1280_30_crf_00.mp4,UGC0074_720x1280_30_crf_42.mp4,2.3611
UGC0074_720x1280_30_crf_00.mp4,UGC0074_720x1280_30_crf_47.mp4,1.5556
UGC0202_1280x720_30_crf_00.mp4,UGC0202_1280x720_30_crf_00.mp4,5.0000
UGC0202_1280x720_30_crf_00.mp4,UGC0202_1280x720_30_crf_17.mp4,4.8611
UGC0202_1280x720_30_crf_00.mp4,UGC0202_1280x720_30_crf_22.mp4,4.3611
UGC0202_1280x720_30_crf_00.mp4,UGC0202_1280x720_30_crf_27.mp4,4.9722
UGC0202_1280x720_30_crf_00.mp4,UGC0202_1280x720_30_crf_32.mp4,3.7778
UGC0202_1280x720_30_crf_00.mp4,UGC0202_1280x720_30_crf_37.mp4,3.0556
UGC0202_1280x720_30_crf_00.mp4,UGC0202_1280x720_30_crf_42.mp4,2.0000
UGC0202_1280x720_30_crf_00.mp4,UGC0202_1280x720_30_crf_47.mp4,1.0833
UGC0288_1280x720_30_crf_00.mp4,UGC0288_1280x720_30_crf_00.mp4,5.0000
UGC0288_1280x720_30_crf_00.mp4,UGC0288_1280x720_30_crf_17.mp4,5.0278
UGC0288_1280x720_30_crf_00.mp4,UGC0288_1280x720_30_crf_22.mp4,4.8056
UGC0288_1280x720_30_crf_00.mp4,UGC0288_1280x720_30_crf_27.mp4,4.5000
UGC0288_1280x720_30_crf_00.mp4,UGC0288_1280x720_30_crf_32.mp4,4.1111
UGC0288_1280x720_30_crf_00.mp4,UGC0288_1280x720_30_crf_37.mp4,2.6389
UGC0288_1280x720_30_crf_00.mp4,UGC0288_1280x720_30_crf_42.mp4,2.1389
UGC0288_1280x720_30_crf_00.mp4,UGC0288_1280x720_30_crf_47.mp4,1.5278
UGC0483_1280x720_30_crf_00.mp4,UGC0483_1280x720_30_crf_00.mp4,5.0000
UGC0483_1280x720_30_crf_00.mp4,UGC0483_1280x720_30_crf_17.mp4,4.5556
UGC0483_1280x720_30_crf_00.mp4,UGC0483_1280x720_30_crf_22.mp4,4.2778
UGC0483_1280x720_30_crf_00.mp4,UGC0483_1280x720_30_crf_27.mp4,4.7778
UGC0483_1280x720_30_crf_00.mp4,UGC0483_1280x720_30_crf_32.mp4,3.5000
UGC0483_1280x720_30_crf_00.mp4,UGC0483_1280x720_30_crf_37.mp4,2.8333
UGC0483_1280x720_30_crf_00.mp4,UGC0483_1280x720_30_crf_42.mp4,2.0556
UGC0483_1280x720_30_crf_00.mp4,UGC0483_1280x720_30_crf_47.mp4,1.0000
UGC0604_720x1280_30_crf_00.mp4,UGC0604_720x1280_30_crf_00.mp4,5.0000
UGC0604_720x1280_30_crf_00.mp4,UGC0604_720x1280_30_crf_17.mp4,4.7500
UGC0604_720x1280_30_crf_00.mp4,UGC0604_720x1280_30_crf_22.mp4,4.9167
UGC0604_720x1280_30_crf_00.mp4,UGC0604_720x1280_30_crf_27.mp4,4.3333
UGC0604_720x1280_30_crf_00.mp4,UGC0604_720x1280_30_crf_32.mp4,3.8056
UGC0604_720x1280_30_crf_00.mp4,UGC0604_720x1280_30_crf_37.mp4,2.4167
UGC0604_720x1280_30_crf_00.mp4,UGC0604_720x1280_30_crf_42.mp4,1.6111
UGC0604_720x1280_30_crf_00.mp4,UGC0604_720x1280_30_crf_47.mp4,1.0000
UGC0662_720x1280_30_crf_00.mp4,UGC0662_720x1280_30_crf_00.mp4,5.0000
UGC0662_720x1280_30_crf_00.mp4,UGC0662_720x1280_30_crf_17.mp4,4.4167
UGC0662_720x1280_30_crf_00.mp4,UGC0662_720x1280_30_crf_22.mp4,4.5278
UGC0662_720x1280_30_crf_00.mp4,UGC0662_720x1280_30_crf_27.mp4,4.2500
UGC0662_720x1280_30_crf_00.mp4,UGC0662_720x1280_30_crf_32.mp4,4.0000
UGC0662_720x1280_30_crf_00.mp4,UGC0662_720x1280_30_crf_37.mp4,2.6111
UGC0662_720x1280_30_crf_00.mp4,UGC0662_720x1280_30_crf_42.mp4,1.5556
UGC0662_720x1280_30_crf_00.mp4,UGC0662_720x1280_30_crf_47.mp4,1.6667
UGC0345_720x1280_30_crf_00.mp4,UGC0345_720x1280_30_crf_00.mp4,5.0000
UGC0345_720x1280_30_crf_00.mp4,UGC0345_720x1280_30_crf_17.mp4,4.0357
UGC0345_720x1280_30_crf_00.mp4,UGC0345_720x1280_30_crf_22.mp4,3.7500
UGC0345_720x1280_30_crf_00.mp4,UGC0345_720x1280_30_crf_27.mp4,3.8214
UGC0345_720x1280_30_crf_00.mp4,UGC0345_720x1280_30_crf_32.mp4,3.5000
UGC0345_720x1280_30_crf_00.mp4,UGC0345_720x1280_30_crf_37.mp4,2.5714
UGC0345_720x1280_30_crf_00.mp4,UGC0345_720x1280_30_crf_42.mp4,1.6429
UGC0345_720x1280_30_crf_00.mp4,UGC0345_720x1280_30_crf_47.mp4,1.0714
UGC0357_720x1280_30_crf_00.mp4,UGC0357_720x1280_30_crf_00.mp4,5.0000
UGC0357_720x1280_30_crf_00.mp4,UGC0357_720x1280_30_crf_17.mp4,5.0357
UGC0357_720x1280_30_crf_00.mp4,UGC0357_720x1280_30_crf_22.mp4,5.1071
UGC0357_720x1280_30_crf_00.mp4,UGC0357_720x1280_30_crf_27.mp4,5.0714
UGC0357_720x1280_30_crf_00.mp4,UGC0357_720x1280_30_crf_32.mp4,3.5714
UGC0357_720x1280_30_crf_00.mp4,UGC0357_720x1280_30_crf_37.mp4,3.1071
UGC0357_720x1280_30_crf_00.mp4,UGC0357_720x1280_30_crf_42.mp4,2.0357
UGC0357_720x1280_30_crf_00.mp4,UGC0357_720x1280_30_crf_47.mp4,1.2857
UGC0509_720x1280_30_crf_00.mp4,UGC0509_720x1280_30_crf_00.mp4,5.0000
UGC0509_720x1280_30_crf_00.mp4,UGC0509_720x1280_30_crf_17.mp4,4.9643
UGC0509_720x1280_30_crf_00.mp4,UGC0509_720x1280_30_crf_22.mp4,4.8929
UGC0509_720x1280_30_crf_00.mp4,UGC0509_720x1280_30_crf_27.mp4,4.9286
UGC0509_720x1280_30_crf_00.mp4,UGC0509_720x1280_30_crf_32.mp4,3.9643
UGC0509_720x1280_30_crf_00.mp4,UGC0509_720x1280_30_crf_37.mp4,3.2500
UGC0509_720x1280_30_crf_00.mp4,UGC0509_720x1280_30_crf_42.mp4,2.1071
UGC0509_720x1280_30_crf_00.mp4,UGC0509_720x1280_30_crf_47.mp4,1.5714
UGC0576_720x1280_30_crf_00.mp4,UGC0576_720x1280_30_crf_00.mp4,5.0000
UGC0576_720x1280_30_crf_00.mp4,UGC0576_720x1280_30_crf_17.mp4,4.9643
UGC0576_720x1280_30_crf_00.mp4,UGC0576_720x1280_30_crf_22.mp4,4.5357
UGC0576_720x1280_30_crf_00.mp4,UGC0576_720x1280_30_crf_27.mp4,4.7857
UGC0576_720x1280_30_crf_00.mp4,UGC0576_720x1280_30_crf_32.mp4,4.1786
UGC0576_720x1280_30_crf_00.mp4,UGC0576_720x1280_30_crf_37.mp4,2.9643
UGC0576_720x1280_30_crf_00.mp4,UGC0576_720x1280_30_crf_42.mp4,2.5714
UGC0576_720x1280_30_crf_00.mp4,UGC0576_720x1280_30_crf_47.mp4,1.7500
UGC0807_720x1280_30_crf_00.mp4,UGC0807_720x1280_30_crf_00.mp4,5.0000
UGC0807_720x1280_30_crf_00.mp4,UGC0807_720x1280_30_crf_17.mp4,4.5714
UGC0807_720x1280_30_crf_00.mp4,UGC0807_720x1280_30_crf_22.mp4,5.1071
UGC0807_720x1280_30_crf_00.mp4,UGC0807_720x1280_30_crf_27.mp4,5.0714
UGC0807_720x1280_30_crf_00.mp4,UGC0807_720x1280_30_crf_32.mp4,4.3214
UGC0807_720x1280_30_crf_00.mp4,UGC0807_720x1280_30_crf_37.mp4,2.5714
UGC0807_720x1280_30_crf_00.mp4,UGC0807_720x1280_30_crf_42.mp4,2.0357
UGC0807_720x1280_30_crf_00.mp4,UGC0807_720x1280_30_crf_47.mp4,1.7143
UGC0809_720x1280_30_crf_00.mp4,UGC0809_720x1280_30_crf_00.mp4,5.0000
UGC0809_720x1280_30_crf_00.mp4,UGC0809_720x1280_30_crf_17.mp4,4.5357
UGC0809_720x1280_30_crf_00.mp4,UGC0809_720x1280_30_crf_22.mp4,4.4286
UGC0809_720x1280_30_crf_00.mp4,UGC0809_720x1280_30_crf_27.mp4,4.5000
UGC0809_720x1280_30_crf_00.mp4,UGC0809_720x1280_30_crf_32.mp4,3.9286
UGC0809_720x1280_30_crf_00.mp4,UGC0809_720x1280_30_crf_37.mp4,2.7143
UGC0809_720x1280_30_crf_00.mp4,UGC0809_720x1280_30_crf_42.mp4,2.0714
UGC0809_720x1280_30_crf_00.mp4,UGC0809_720x1280_30_crf_47.mp4,1.1071
UGC0105_1280x720_30_crf_00.mp4,UGC0105_1280x720_30_crf_00.mp4,5.0000
UGC0105_1280x720_30_crf_00.mp4,UGC0105_1280x720_30_crf_17.mp4,4.7714
UGC0105_1280x720_30_crf_00.mp4,UGC0105_1280x720_30_crf_22.mp4,4.4286
UGC0105_1280x720_30_crf_00.mp4,UGC0105_1280x720_30_crf_27.mp4,4.1429
UGC0105_1280x720_30_crf_00.mp4,UGC0105_1280x720_30_crf_32.mp4,3.9714
UGC0105_1280x720_30_crf_00.mp4,UGC0105_1280x720_30_crf_37.mp4,3.0857
UGC0105_1280x720_30_crf_00.mp4,UGC0105_1280x720_30_crf_42.mp4,2.0000
UGC0105_1280x720_30_crf_00.mp4,UGC0105_1280x720_30_crf_47.mp4,1.0857
UGC0115_720x1280_30_crf_00.mp4,UGC0115_720x1280_30_crf_00.mp4,5.0000
UGC0115_720x1280_30_crf_00.mp4,UGC0115_720x1280_30_crf_17.mp4,4.5143
UGC0115_720x1280_30_crf_00.mp4,UGC0115_720x1280_30_crf_22.mp4,4.5714
UGC0115_720x1280_30_crf_00.mp4,UGC0115_720x1280_30_crf_27.mp4,4.5714
UGC0115_720x1280_30_crf_00.mp4,UGC0115_720x1280_30_crf_32.mp4,4.3429
